Uniq Id;Category;Product Title;Brand;Mrp;Price;Offers;Stock Availability
45db7248f884cd7a72cfd69769f1b434;Skin Care;Genuine 1Pc Flamingo Nail Art Mat Linen Flax Cactus Nail Pad For Led Nails Lamp Professional Nail Art Tools Table Pad Manicure Display 23;Genuine;943;574;39.13%;true
0a9677accadd5e35f32f9bb1d2009ed1;Grocery & Gourmet Foods;Vedaka Premium Flaxseeds, 200g;Vedaka;40;39;2.5%;true
12dc51b5ca8d4a12960f925f3d958d96;Skin Care;Generic 500Pcs/Pack Microbrush Disposable Makeup Brushes Swab Eyelash Extension Tools Individual Lash Removing Tools Lint - 01;Generic;4260;3549;16.69%;true
dbb4539758e935aaef8c858054c1e0fa;Skin Care;Nivea Men Body Deodorizer, Sprint, Gas Free Deodorant 120ml;Nivea;230;161;30.0%;true
32149840861ea15fde298aa536529180;Skin Care;World Beautys New ARSYCHLL 5PCS SPA snake venom 3D facial silk mask paste face lift firming V Face remove wrinkles Skin Care;World Beauty;2038;1772;13.05%;true
1859d9a96db47119a13ba454281787d1;Bath & Shower;Eva Deodorants 125ml Flirt, Dew and Groove Combo 3;Eva;420;399;5.0%;true
80a3b71ba5ce007692adc2898648667e;Grocery & Gourmet Foods;English Tea Shop - English Breakfast - 15 Pyramid Infusers In Tube - 45G;English Tea Shop;3520;3520;0 %;true
6762669b0701748ca6556b7e21e9161e;Skin Care;Generic Whitening Brightening 4Pcs Silk Protein Mask And Moisturizing Oil Soothing Face Mask;Generic;5871;3355;42.85%;true
4384511c2b28cbb7d6530e734a87ab14;Skin Care;Xiel DNA Repair Serum 30 Ml;Xiel;5790;4451;23.13%;true
46d599f6383f10374870be293814b0cd;Skin Care;Xplus Bath Loofah(Pack of 3);Xplus;300;300;0 %;true
cf34014b37f0a850ccf951897ba73d6f;Skin Care; BuyChoice Acne Scar Removal Cream Skin Repair Face Cream ;BuyChoice;10091;7772;22.98%;true
a00dcb3482ead505adb48e6319f6c781;Grocery & Gourmet Foods; Midiron Super Sister Printed Ceramic Coffee Mug with Red Teddy and Chocolate Gifts ;Midiron;699;699;0 %;true
a8d249d05c692a188cf806cada267215;Skin Care;adbeni Papaya Mars Face and Body Cleansing Scrub Gel (100 ml);adbeni;199;189;5.03%;true
376c5be73d634f32f2f3d98a701acafa;Hair Care; Stick On Hair Accessories (Colour N Design May Vary) ;Ear Lobe & Accessories;450;199;55.78%;true
efaf56ef74edd82bba3d0c0aca180f98;Skin Care;Farmhouse Fresh Pink Moon Shea Butter - 237ml/8oz;FarmHouse Fresh;8493;6794;20.0%;true
53f14888102234ebafb7396022894bf7;Skin Care;Generic Larg1Pair Soft Silicone Gel Honeycomb Massaging Insoles Man Woman Shoe Pad Inserts Insole Arch Support Soft Cushion Foot Care;Generic;2294;1311;42.85%;true
0f01eec8058c33c77d9e8372adcf3684;Bath & Shower;Old Spice High Endurance Deodorant Solid, Original 3 oz (Pack of 11);OLD;6849;6849;0 %;true
aa505b67ea995b5542b36dfe5ea21dba;Skin Care;Stockout BENEFIT COSMETICS Boi-ing Cakeless Concealer Mini - COLOR: 5 Medium - neutral undertone - Mini size: Natural finish -  0.1 oz/ 3 mL;Stockout;3599;3599;0 %;true
50544257ba6690d7ed612305c87c9c77;Hair Care;Roottree Natures Castor Oil (50 ML);ROOTTREE NATURES;189;151;20.11%;true
3aca08cac058de9f5e7f302e6dab3aa6;Skin Care; Hudson Made - Organic Scullery Soap ;Hudson Made;8925;7140;20.0%;true
ee92b483bc9b000448d84145b92cd089;Skin Care;AZGGN Hand Callus Remover, Palm Finger Thumb Callus Shaver Titania With 10 Blades For Removing Hard, Cracked, Dry Skin;AZGGN;3049;3049;0 %;true
